Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,28-Sep-2023,28-Dec-2023,CE,14500.00,-,-,-,5793.55,5793.55,5280.45,-,-,-,1025.00,-,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,11000.00,-,-,-,8785.75,8785.75,8718.45,-,-,-,7050.00,-,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,14000.00,5754.45,5805.00,5730.00,5730.00,5730.00,5730.00,13.00,128.62,37.62,3250.00,550.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,24000.00,12.70,13.55,11.35,12.95,13.25,12.95,284.00,3409.76,1.76,78600.00,50.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,15500.00,-,-,-,4295.00,4295.00,4298.40,-,-,-,2850.00,-,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,20000.00,492.05,498.70,392.05,401.00,403.45,401.00,7884.00,80541.71,1701.71,1487100.00,49300.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,15000.00,4900.05,4914.40,4720.00,4738.60,4764.40,4738.60,216.00,2142.02,522.02,83700.00,9400.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,18000.00,2080.00,2083.95,1878.00,1894.20,1906.35,1894.20,883.00,8816.59,869.59,978425.00,4550.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,18500.00,1605.00,1610.35,1441.00,1461.80,1494.25,1461.80,82.00,820.51,62.01,164200.00,500.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,16000.00,3949.00,3952.00,3750.00,3776.70,3849.55,3776.70,2596.00,25762.09,4994.09,365400.00,47450.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,19000.00,1194.05,1206.40,1040.00,1053.20,1069.45,1053.20,2078.00,20883.51,1142.51,1040450.00,-1600.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,22000.00,28.05,29.90,24.00,28.55,28.05,28.55,4186.00,46102.62,56.62,783050.00,28400.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,17500.00,2525.50,2528.75,2333.40,2350.90,2378.45,2350.90,575.00,5718.61,687.36,174800.00,1650.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,21000.00,114.95,124.00,98.60,102.30,102.75,102.30,6042.00,63770.08,329.08,1217100.00,-7700.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,13000.00,6842.00,6870.10,6642.40,6659.65,6678.35,6659.65,1031.00,10186.52,3485.02,487850.00,45550.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,17000.00,3014.45,3014.55,2780.00,2801.60,2800.05,2801.60,1957.00,19401.55,2767.05,458000.00,81300.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,23000.00,12.50,14.20,11.60,13.45,12.40,13.45,1592.00,18317.98,9.98,205300.00,8100.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,25000.00,10.30,10.95,9.00,10.75,10.15,10.75,351.00,4389.29,1.79,59850.00,2100.00,19523.55
NIFTY,28-Sep-2023,28-Dec-2023,CE,16500.00,-,-,-,4030.00,4030.00,3319.20,-,-,-,4150.00,-,19523.55
NIFTY,29-Sep-2023,28-Dec-2023,CE,25000.00,10.70,11.40,8.65,9.35,9.15,9.35,281.00,3513.82,1.32,58600.00,-1250.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20950.00,-,-,-,222.85,-,249.20,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19350.00,-,-,-,879.90,-,951.55,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,15500.00,-,-,-,4295.00,4295.00,4410.85,-,-,-,2850.00,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,11000.00,-,-,-,8785.75,8785.75,8831.60,-,-,-,7050.00,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19000.00,1083.45,1149.95,1040.25,1079.60,1084.00,1079.60,1470.00,14765.78,800.78,1054350.00,13900.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18600.00,-,-,-,1406.10,-,1496.90,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19950.00,419.95,455.00,419.75,455.00,455.00,455.00,4.00,40.77,0.87,150.00,150.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18950.00,-,-,-,1145.20,-,1227.15,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19250.00,-,-,-,942.35,-,1016.80,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20500.00,190.00,224.00,190.00,196.75,200.00,196.75,2448.00,25339.83,247.83,68000.00,68000.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20600.00,-,-,-,314.15,-,349.90,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,16500.00,-,-,-,4030.00,4030.00,3430.75,-,-,-,4150.00,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,14000.00,5689.85,5689.85,5689.85,5689.85,5689.85,5884.35,1.00,9.84,2.84,3300.00,50.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18150.00,-,-,-,1776.65,-,1875.85,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18200.00,-,-,-,1733.80,-,1832.25,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19400.00,747.10,820.00,747.10,780.00,780.00,780.00,12.00,121.13,4.73,400.00,400.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20150.00,313.40,331.50,313.40,323.35,323.35,520.80,6.00,61.41,0.96,200.00,200.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,22000.00,28.05,28.95,22.50,23.35,22.50,23.35,2225.00,24502.41,27.41,815050.00,32000.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20800.00,-,-,-,258.35,-,289.15,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18800.00,-,-,-,1253.50,-,1339.75,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19650.00,605.00,628.30,605.00,628.30,628.30,770.70,2.00,20.27,0.62,100.00,100.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20050.00,369.45,416.95,369.45,416.95,416.95,565.60,9.00,91.94,1.72,450.00,450.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18100.00,-,-,-,1819.80,-,1919.80,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19300.00,839.45,889.70,816.20,887.00,887.00,983.85,32.00,322.74,13.94,1400.00,1400.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18250.00,-,-,-,1691.40,-,1788.95,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20750.00,-,-,-,271.50,-,303.55,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,17500.00,2359.00,2483.00,2359.00,2416.60,2399.00,2416.60,42.00,418.66,51.16,174850.00,50.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19550.00,-,-,-,762.65,-,828.40,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18400.00,-,-,-,1566.50,-,1661.35,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20350.00,251.70,251.70,251.70,251.70,251.70,438.75,1.00,10.30,0.13,50.00,50.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18900.00,-,-,-,1181.00,-,1264.15,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20450.00,-,-,-,361.75,-,401.45,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,21000.00,106.85,106.90,86.10,89.15,89.00,89.15,9091.00,95886.34,430.84,1231550.00,14450.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18550.00,-,-,-,1445.50,-,1537.35,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19850.00,480.20,486.25,468.50,486.05,486.05,486.05,9.00,91.50,2.17,150.00,150.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,23000.00,12.60,12.80,11.15,11.85,11.25,11.85,799.00,9193.18,4.68,212700.00,7400.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18000.00,1924.95,2017.00,1890.15,1937.40,1940.00,1937.40,477.00,4759.31,466.31,976925.00,-1500.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18850.00,-,-,-,1217.40,-,1301.70,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20400.00,-,-,-,378.75,-,419.80,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18050.00,-,-,-,1863.30,-,1964.10,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19450.00,757.90,757.90,757.90,757.90,757.90,888.70,1.00,10.10,0.38,50.00,50.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19900.00,458.00,510.10,433.95,480.00,480.00,480.00,9.00,91.66,2.11,350.00,350.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18700.00,-,-,-,1328.80,-,1417.35,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19050.00,-,-,-,1074.65,-,1155.40,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19100.00,974.85,1062.30,970.85,1048.95,1048.95,1119.25,5.00,50.27,2.52,250.00,250.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19150.00,-,-,-,1007.30,-,1084.55,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18500.00,1498.15,1570.25,1463.00,1487.00,1508.75,1487.00,456.00,4565.56,347.56,160650.00,-3550.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19750.00,524.85,583.45,524.85,583.45,583.45,715.55,3.00,30.46,0.83,50.00,50.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20550.00,-,-,-,329.45,-,366.50,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,16000.00,3788.00,3886.00,3775.00,3816.25,3820.00,3816.25,151.00,1496.95,288.95,370950.00,5550.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,13000.00,6685.50,6800.90,6658.50,6695.00,6700.00,6695.00,17.00,167.57,57.07,487800.00,-50.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18650.00,-,-,-,1367.20,-,1456.90,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20000.00,415.35,447.30,382.10,404.55,405.00,404.55,5300.00,54093.52,1093.52,1491700.00,4600.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20850.00,-,-,-,246.55,-,275.35,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20900.00,-,-,-,234.45,-,262.00,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19200.00,-,-,-,974.55,-,1050.40,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20100.00,335.65,382.65,322.40,350.05,350.45,350.05,58.00,593.06,10.16,2100.00,2100.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,14500.00,-,-,-,5793.55,5793.55,5393.10,-,-,-,1025.00,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20200.00,300.00,340.15,290.00,307.20,310.35,307.20,1261.00,12927.64,191.54,37300.00,37300.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20700.00,-,-,-,285.20,-,318.45,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,18300.00,-,-,-,1649.35,-,1746.05,-,-,-,-,-,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19500.00,704.20,758.00,676.90,702.65,702.05,702.65,348.00,3516.66,123.66,9900.00,9900.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,20300.00,262.10,295.55,259.00,265.90,262.10,265.90,456.00,4689.36,60.96,12450.00,12450.00,19638.30
NIFTY,29-Sep-2023,28-Dec-2023,CE,19600.00,635.25,689.00,617.00,642.55,630.00,642.55,80.00,809.93,25.93,2150.00,2150.00,19638.30
