Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,04-Oct-2024,07-Nov-2024,CE,26650.00,-,-,-,123.90,-,85.55,-,-,-,-,-,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,26700.00,115.75,115.75,115.75,115.75,115.75,79.50,2.00,13.41,0.06,50.00,50.00,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,25550.00,-,-,-,450.65,-,345.95,-,-,-,-,-,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,25650.00,302.40,311.60,296.80,311.60,311.60,309.85,3.00,19.47,0.23,75.00,75.00,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,26950.00,-,-,-,81.20,-,54.30,-,-,-,-,-,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,24700.00,-,-,-,942.60,-,775.70,-,-,-,-,-,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,23550.00,-,-,-,1898.60,-,1675.95,-,-,-,-,-,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,26350.00,-,-,-,183.35,-,130.55,-,-,-,-,-,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,24000.00,-,-,-,1495.15,-,1288.65,-,-,-,-,-,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,26400.00,-,-,-,172.15,-,121.95,-,-,-,-,-,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,24100.00,-,-,-,1409.80,-,1207.90,-,-,-,-,-,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,25200.00,626.70,626.70,626.70,626.70,626.70,495.75,7.00,45.20,1.10,175.00,175.00,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,24150.00,-,-,-,1367.85,-,1168.35,-,-,-,-,-,25014.60
NIFTY,04-Oct-2024,07-Nov-2024,CE,24450.00,-,-,-,1127.05,-,943.90,-,-,-,-,-,25014.60
