Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
30-AUG-2024,13.7875,13.905,12.54,13.3925,13.7875,-0.40,-2.86
02-SEP-2024,13.3925,14.25,12.6275,14.06,13.3925,0.67,4.98
03-SEP-2024,14.06,14.15,12.69,13.8425,14.06,-0.22,-1.55
04-SEP-2024,13.8425,14.555,12.805,14.3775,13.8425,0.54,3.86
05-SEP-2024,14.3775,14.3775,13.335,14.2075,14.3775,-0.17,-1.18
06-SEP-2024,14.2075,15.6725,12.3525,15.2175,14.2075,1.01,7.11
09-SEP-2024,15.2175,15.5625,14.11,14.2375,15.2175,-0.98,-6.44
10-SEP-2024,14.2375,14.2375,12.1675,13.36,14.2375,-0.88,-6.16
11-SEP-2024,13.36,13.765,11.325,13.6275,13.36,0.27,2.00
12-SEP-2024,13.6275,13.6275,11.14,13.1825,13.6275,-0.45,-3.27
13-SEP-2024,13.1825,13.1825,12.4675,12.55,13.1825,-0.63,-4.80
16-SEP-2024,12.55,12.955,12.31,12.46,12.55,-0.09,-0.72
17-SEP-2024,12.46,12.75,11.8825,12.59,12.46,0.13,1.04
18-SEP-2024,12.59,13.8475,12.26,13.3725,12.59,0.78,6.22
19-SEP-2024,13.3725,13.3725,12.1,12.47,13.3725,-0.90,-6.75
20-SEP-2024,12.47,13.11,10.9025,12.79,12.47,0.32,2.57
23-SEP-2024,12.79,14.03,12.4275,13.785,12.79,1.00,7.78
24-SEP-2024,13.785,14.105,12.7425,13.3925,13.785,-0.39,-2.85
25-SEP-2024,13.3925,13.61,8.98,12.7425,13.3925,-0.65,-4.85
26-SEP-2024,12.7425,12.7425,11.3525,12.0025,12.7425,-0.74,-5.81
27-SEP-2024,12.0025,12.08,10.5025,11.9625,12.0025,-0.04,-0.33
30-SEP-2024,11.9625,13.2375,11.6,12.7875,11.9625,0.83,6.90
01-OCT-2024,12.7875,12.7875,11.7125,11.9875,12.7875,-0.80,-6.26
03-OCT-2024,11.9875,13.9275,11.685,13.17,11.9875,1.18,9.86
04-OCT-2024,13.17,14.48,12.285,14.1275,13.17,0.96,7.27
07-OCT-2024,14.1275,15.5,13.6175,15.08,14.1275,0.95,6.74
08-OCT-2024,15.08,15.555,13.8775,14.5875,15.08,-0.49,-3.27
09-OCT-2024,14.5875,14.5875,12.7,14.1225,14.5875,-0.47,-3.19
10-OCT-2024,14.1225,14.1225,11.7275,13.495,14.1225,-0.63,-4.44
